Survey ResponseID,frequency,monetary,avg_order_value,total_quantity,recency_days,tenure_days,avg_inter_purchase_days,category_diversity,category_entropy,spend_trend_ratio,future_6m_spend
R_01vNIayewjIIKMF,14,271.97,19.43,14.0,17.0,163.0,18.11,11,3.3249,3.0358,677.34
R_037XK72IZBJyF69,83,723.64,8.72,96.0,32.0,148.0,11.38,52,5.3763,0.7086,815.72
R_038ZU6kfQ5f89fH,12,583.75,48.65,12.0,12.0,168.0,33.6,8,2.7925,0.6628,29.99
R_03aEbghUILs9NxD,6,87.62,14.6,6.0,43.0,137.0,27.4,6,2.585,1.4744,228.6
R_06RZP9pS7kONINr,16,587.83,36.74,16.0,5.0,175.0,17.5,15,3.875,1.0339,456.96999999999997
R_06d9ULxrBmkwSTn,3,39.5,13.17,3.0,91.0,89.0,44.5,3,1.585,0.0,237.25
R_07oHvj3bLVVRCRb,4,77.98,19.5,4.0,143.0,37.0,12.33,3,1.5,0.0,209.96
R_085qq7w0pkhowox,17,368.14,21.66,25.0,15.0,165.0,16.5,11,3.0575,0.2606,1190.93
R_08tF4u5YMrmEJ4l,1,7.89,7.89,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_08uYA7fb4unHGkF,5,463.6,92.72,5.0,88.0,92.0,23.0,4,1.9219,0.0287,522.15
R_0AjvU74YOfIrIpX,41,631.57,15.4,44.0,21.0,159.0,11.36,31,4.8329,0.9418,149.09
R_0Arj0ePpTnReV1v,20,374.97,18.75,20.0,1.0,179.0,11.93,17,3.9842,1.146,280.93
R_0BCm9hRP9iTI081,92,2215.66,24.08,96.0,5.0,175.0,5.3,50,5.3193,1.5232,1185.9
R_0BWkZUjRId7FDZn,63,2694.01,42.76,112.0,60.0,120.0,5.45,44,5.2533,0.0457,1224.8700000000001
R_0BrMxYYMHVMOBEJ,2,61.98,30.99,2.0,180.0,0.0,180.0,2,1.0,0.0,147.79
R_0D6GtQwa6VcnXpv,13,364.44,28.03,13.0,8.0,172.0,19.11,10,3.1808,2.9407,263.46
R_0D6LkYgiPcEN117,4,225.88,56.47,5.0,88.0,92.0,92.0,4,2.0,0.399,56.39
R_0DoXqOQl0hxEeFH,58,828.77,14.29,60.0,5.0,175.0,9.21,30,4.2447,0.4256,1247.14
R_0HStFOjenTsm8H7,4,206.96,51.74,4.0,154.0,26.0,26.0,4,2.0,0.0,0.0
R_0HuDEBXZ3BxNi0h,9,167.93,18.66,9.0,32.0,148.0,49.33,8,2.9477,0.0914,6.88
R_0Hzrb8hEmXavTk5,12,425.85,35.49,13.0,35.0,145.0,18.12,10,3.2516,1.4036,780.06
R_0IBgnbXoP4Uvvhv,10,105.4,10.54,10.0,17.0,163.0,54.33,8,2.8464,0.6359,1729.35
